"response status","response time (ms)","url","parent"
"200","634","https://www.plymouthrock.com/insurance/sports-programs","http://www.bunkerhillins.com"
"200","496","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto/coverages#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto/coverages"
"200","315","http://www.prac.com/aarp",
"200","467","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/understanding-car-insurance#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/understanding-car-insurance"
"200","457","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/discounts#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/discounts"
"200","181","http://www.pateachersquote.com",
"200","450","https://www.plymouthrock.com/resource-center/ma-insurance-guides/home/coverage","https://www.plymouthrock.com/resource-center/ma-insurance-guides/home"
"200","444","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/compare#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/compare"
"200","483","https://www.plymouthrock.com/resource-center/ma-insurance-guides/home/coverage#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/home/coverage"
"200","144","http://NJARQUOTE.com",
"200","451","https://www.plymouthrock.com/resource-center/ma-insurance-guides/umbrella-insurance#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/umbrella-insurance"
"200","449","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/compare","http://www.prac.com"
"200","321","https://aarp.plymouthrock.com/mypolicy","http://www.prac.com/aarp"
"200","465","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/savings-pass#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/savings-pass"
"200","485","https://www.plymouthrock.com/resource-center/ma-insurance-guides/home","http://www.prac.com"
"200","487","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/finding-best-car-insurance","http://www.prac.com"
"200","507","https://www.plymouthrock.com/resource-center/ma-insurance-guides/claims-center-ma/file-claim","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/understanding-car-insurance"
"200","454","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/customer-benefits#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/customer-benefits"
"200","462","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/discounts","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto"
"200","495","https://www.plymouthrock.com/resource-center/ma-insurance-guides#","http://www.prac.com"
"200","507","http://www.prac.com",
"200","486","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto","http://www.prac.com"
"200","468","https://www.plymouthrock.com/resource-center/ma-insurance-guides/claims-center-ma/file-claim#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/claims-center-ma/file-claim"
"200","478","https://www.plymouthrock.com/resource-center/ma-insurance-guides/collector-car-insurance#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/collector-car-insurance"
"200","490","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto"
"200","455","https://www.plymouthrock.com/resource-center/ma-insurance-guides/umbrella-insurance","http://www.prac.com"
"200","487","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/insure-new-car#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/insure-new-car"
"200","462","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/cheapest-not-best#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/cheapest-not-best"
"200","511","https://www.plymouthrock.com/resource-center/ma-insurance-guides/claims-center-ma/cancel-car-insurance","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto"
"response status","response time (ms)","url","parent"
"200","2709","https://www.plymouthrock.com/blog/happy-holidays/#comment-7724","https://www.plymouthrock.com/blog/happy-holidays/"
"200","6521","https://www.plymouthrock.com/blog/happy-holidays/#comment-7727","https://www.plymouthrock.com/blog/happy-holidays/"
"200","439","https://www.plymouthrock.com/resource-center/nj-insurance-guides/auto/do-not-own-car#","https://www.plymouthrock.com/resource-center/nj-insurance-guides/auto/do-not-own-car"
"200","899","https://pracblog.com/your-safety/page/2/","https://pracblog.com/category/your-safety"
"200","1076","https://pracblog.com/household-items-you-never-clean/#","https://pracblog.com/household-items-you-never-clean/"
"200","1541","https://www.plymouthrock.com/blog/happy-holidays/#comment-7728","https://www.plymouthrock.com/blog/happy-holidays/"
"200","984","https://pracblog.com/how-to-store-your-generator-safely/#comment-12932","https://pracblog.com/how-to-store-your-generator-safely/"
"200","939","https://pracblog.com/quiz-whats-secret-office-superpower/#main","https://pracblog.com/quiz-whats-secret-office-superpower/"
"200","485","https://www.plymouthrock.com/resource-center/ct-insurance-guides/auto/cheapest-not-the-best#","https://www.plymouthrock.com/resource-center/ct-insurance-guides/auto/cheapest-not-the-best"
"200","42","http://www.pilgrimins.com/about-us/annual-reports","http://www.pilgrimins.com"
"200","458","https://www.plymouthrock.com/resource-center/pa-insurance-guides/auto/why-switch#","https://www.plymouthrock.com/resource-center/pa-insurance-guides/auto/why-switch"
"200","876","https://www.plymouthrock.com/blog/five-cool-cars-love-tv-history/","https://www.plymouthrock.com/blog/seven-ways-carpooling-can-make-life-better/"
"200","1080","https://www.plymouthrock.com/blog/conserve-energy-effortlessly-this-winter/#main","https://www.plymouthrock.com/blog/conserve-energy-effortlessly-this-winter/"
"200","936","https://pracblog.com/finding-the-right-balance-for-national-nutrition-month/#","https://pracblog.com/finding-the-right-balance-for-national-nutrition-month/"
"200","938","https://pracblog.com/avoid-at-gas-stations/#","https://pracblog.com/avoid-at-gas-stations/"
"200","1241","https://www.plymouthrock.com/blog/top-five-road-trip-essentials/#main","https://www.plymouthrock.com/blog/top-five-road-trip-essentials/"
"200","1597","https://www.plymouthrock.com/blog/happy-holidays/#comment-7721","https://www.plymouthrock.com/blog/happy-holidays/"
"200","1249","https://www.plymouthrock.com/blog/moving-to-no-tax-states/#","https://www.plymouthrock.com/blog/moving-to-no-tax-states/"
"200","940","https://www.plymouthrock.com/blog/car-breaks-down/#comment-4431","https://www.plymouthrock.com/blog/car-breaks-down/"
"200","2461","https://www.plymouthrock.com/blog/your-community/page/2/#","https://www.plymouthrock.com/blog/your-community/page/2/"
"200","1432","https://pracblog.com/your-safety/page/1/","https://pracblog.com/your-safety/page/2/"
"200","898","https://www.plymouthrock.com/blog/2017-nj-winter-events/#","https://www.plymouthrock.com/blog/2017-nj-winter-events/"
"200","3336","https://www.plymouthrock.com/blog/teen-driving-safety-tips-for-parents/#","https://www.plymouthrock.com/blog/teen-driving-safety-tips-for-parents/"
"200","885","https://pracblog.com/the-big-secret-to-loving-your-job-as-a-teacher/#main","https://pracblog.com/the-big-secret-to-loving-your-job-as-a-teacher/"
"200","904","https://www.plymouthrock.com/blog/new-jerseys-best-dog-friendly-beaches/#comment-263","https://www.plymouthrock.com/blog/new-jerseys-best-dog-friendly-beaches/"
"200","3049","https://www.plymouthrock.com/blog/safety-tips-for-driving-at-night/","https://www.plymouthrock.com/blog/drive-smart-drive-sober-get-home-safe-2/"
